 ENC
 ENC bytes 0
 5:   SWcycles : 50232   HWcycles : 350
 6:   SWcycles : 50232   HWcycles : 350
 7:   SWcycles : 50232   HWcycles : 350
 8:   SWcycles : 50232   HWcycles : 350
 9:   SWcycles : 50232   HWcycles : 350
 10:   SWcycles : 50232   HWcycles : 350
 11:   SWcycles : 50232   HWcycles : 350
 12:   SWcycles : 50232   HWcycles : 350
 13:   SWcycles : 50232   HWcycles : 350
 14:   SWcycles : 50232   HWcycles : 350
 15:   SWcycles : 50232   HWcycles : 350
 16:   SWcycles : 50232   HWcycles : 350
 17:   SWcycles : 50232   HWcycles : 350
 18:   SWcycles : 50232   HWcycles : 350
 19:   SWcycles : 50232   HWcycles : 350
 20:   SWcycles : 50232   HWcycles : 350
 21:   SWcycles : 50232   HWcycles : 350
 22:   SWcycles : 50232   HWcycles : 350
 23:   SWcycles : 50232   HWcycles : 350
 24:   SWcycles : 50232   HWcycles : 350
 25:   SWcycles : 50232   HWcycles : 350
 26:   SWcycles : 50232   HWcycles : 350
 27:   SWcycles : 50232   HWcycles : 350
 28:   SWcycles : 50232   HWcycles : 350
 29:   SWcycles : 50232   HWcycles : 350
 ENC 100 A bytes 496
 0:   SWcycles : 197693   HWcycles : 950
 1:   SWcycles : 197682   HWcycles : 950
 2:   SWcycles : 197682   HWcycles : 950
 3:   SWcycles : 197682   HWcycles : 947
 4:   SWcycles : 197682   HWcycles : 950
 5:   SWcycles : 197682   HWcycles : 950
 6:   SWcycles : 197682   HWcycles : 950
 7:   SWcycles : 197682   HWcycles : 950
 8:   SWcycles : 197682   HWcycles : 950
 9:   SWcycles : 197682   HWcycles : 950
 10:   SWcycles : 197682   HWcycles : 950
 11:   SWcycles : 197682   HWcycles : 950
 12:   SWcycles : 197682   HWcycles : 950
 13:   SWcycles : 197682   HWcycles : 950
 14:   SWcycles : 197682   HWcycles : 950
 15:   SWcycles : 197682   HWcycles : 950
 16:   SWcycles : 197682   HWcycles : 950
 17:   SWcycles : 197682   HWcycles : 950
 18:   SWcycles : 197682   HWcycles : 950
 19:   SWcycles : 197682   HWcycles : 950
 20:   SWcycles : 197682   HWcycles : 950
 21:   SWcycles : 197682   HWcycles : 950
 22:   SWcycles : 197682   HWcycles : 950
 23:   SWcycles : 197682   HWcycles : 950
 24:   SWcycles : 197682   HWcycles : 950
 25:   SWcycles : 197682   HWcycles : 950
 26:   SWcycles : 197682   HWcycles : 950
 27:   SWcycles : 197682   HWcycles : 950
 28:   SWcycles : 197682   HWcycles : 950
 29:   SWcycles : 197682   HWcycles : 950
 ENC 100 A bytes 1000
 0:   SWcycles : 383476   HWcycles : 1706
 1:   SWcycles : 383469   HWcycles : 1706
 2:   SWcycles : 383469   HWcycles : 1706
 3:   SWcycles : 383469   HWcycles : 1703
 4:   SWcycles : 383469   HWcycles : 1706
 5:   SWcycles : 383469   HWcycles : 1706
 6:   SWcycles : 383469   HWcycles : 1706
 7:   SWcycles : 383469   HWcycles : 1706
 8:   SWcycles : 383469   HWcycles : 1706
 9:   SWcycles : 383469   HWcycles : 1706
 10:   SWcycles : 383469   HWcycles : 1706
 11:   SWcycles : 383469   HWcycles : 1706
 12:   SWcycles : 383469   HWcycles : 1706
 13:   SWcycles : 383469   HWcycles : 1706
 14:   SWcycles : 383469   HWcycles : 1706
 15:   SWcycles : 383469   HWcycles : 1706
 16:   SWcycles : 383469   HWcycles : 1706
 17:   SWcycles : 383469   HWcycles : 1706
 18:   SWcycles : 383469   HWcycles : 1706
 19:   SWcycles : 383469   HWcycles : 1706
 20:   SWcycles : 383469   HWcycles : 1706
 21:   SWcycles : 383469   HWcycles : 1706
 22:   SWcycles : 383469   HWcycles : 1706
 23:   SWcycles : 383469   HWcycles : 1706
 24:   SWcycles : 383469   HWcycles : 1706
 25:   SWcycles : 383469   HWcycles : 1706
 26:   SWcycles : 383469   HWcycles : 1706
 27:   SWcycles : 383469   HWcycles : 1706
 28:   SWcycles : 383469   HWcycles : 1706
 29:   SWcycles : 383469   HWcycles : 1706
 ENC 100 A bytes 5000
 0:   SWcycles : 1857976   HWcycles : 7706
 1:   SWcycles : 1857970   HWcycles : 7706
 2:   SWcycles : 1857970   HWcycles : 7706
 3:   SWcycles : 1857970   HWcycles : 7703
 4:   SWcycles : 1857970   HWcycles : 7706
 5:   SWcycles : 1857970   HWcycles : 7706
 6:   SWcycles : 1857970   HWcycles : 7706
 7:   SWcycles : 1857970   HWcycles : 7706
 8:   SWcycles : 1857970   HWcycles : 7706
 9:   SWcycles : 1857970   HWcycles : 7706
 10:   SWcycles : 1857970   HWcycles : 7706
 11:   SWcycles : 1857970   HWcycles : 7706
 12:   SWcycles : 1857970   HWcycles : 7706
 13:   SWcycles : 1857970   HWcycles : 7706
 14:   SWcycles : 1857970   HWcycles : 7706
 15:   SWcycles : 1857970   HWcycles : 7706
 16:   SWcycles : 1857970   HWcycles : 7706
 17:   SWcycles : 1857970   HWcycles : 7706
 18:   SWcycles : 1857970   HWcycles : 7706
 19:   SWcycles : 1857970   HWcycles : 7706
 20:   SWcycles : 1857970   HWcycles : 7706
 21:   SWcycles : 1857970   HWcycles : 7706
 22:   SWcycles : 1857970   HWcycles : 7706
 23:   SWcycles : 1857970   HWcycles : 7706
 24:   SWcycles : 1857970   HWcycles : 7706
 25:   SWcycles : 1857970   HWcycles : 7706
 26:   SWcycles : 1857970   HWcycles : 7706
 27:   SWcycles : 1857970   HWcycles : 7706
 28:   SWcycles : 1857970   HWcycles : 7706
 29:   SWcycles : 1857970   HWcycles : 7706
 ENC 100 A bytes 10000
 0:   SWcycles : 3701101   HWcycles : 15206
 1:   SWcycles : 3701095   HWcycles : 15206
 2:   SWcycles : 3701095   HWcycles : 15206
 3:   SWcycles : 3701095   HWcycles : 15203
 4:   SWcycles : 3701095   HWcycles : 15206
 5:   SWcycles : 3701095   HWcycles : 15206
 6:   SWcycles : 3701095   HWcycles : 15206
 7:   SWcycles : 3701095   HWcycles : 15206
 8:   SWcycles : 3701095   HWcycles : 15206
 9:   SWcycles : 3701095   HWcycles : 15206
 10:   SWcycles : 3701095   HWcycles : 15206
 11:   SWcycles : 3701095   HWcycles : 15206
 12:   SWcycles : 3701095   HWcycles : 15206
 13:   SWcycles : 3701095   HWcycles : 15206
 14:   SWcycles : 3701095   HWcycles : 15206
 15:   SWcycles : 3701095   HWcycles : 15206
 16:   SWcycles : 3701095   HWcycles : 15206
 17:   SWcycles : 3701095   HWcycles : 15206
 18:   SWcycles : 3701095   HWcycles : 15206
 19:   SWcycles : 3701095   HWcycles : 15206
 20:   SWcycles : 3701095   HWcycles : 15206
 21:   SWcycles : 3701095   HWcycles : 15206
 22:   SWcycles : 3701095   HWcycles : 15206
 23:   SWcycles : 3701095   HWcycles : 15206
 24:   SWcycles : 3701095   HWcycles : 15206
 25:   SWcycles : 3701095   HWcycles : 15206
 26:   SWcycles : 3701095   HWcycles : 15206
 27:   SWcycles : 3701095   HWcycles : 15206
 28:   SWcycles : 3701095   HWcycles : 15206
 29:   SWcycles : 3701095   HWcycles : 15206
 DEC
 DEC bytes 0
 0:   SWcycles : 82186   HWcycles : 26597
 1:   SWcycles : 11869   HWcycles : 216
 2:   SWcycles : 11866   HWcycles : 219
 3:   SWcycles : 11866   HWcycles : 219
 4:   SWcycles : 11866   HWcycles : 216
 5:   SWcycles : 11866   HWcycles : 216
 6:   SWcycles : 11866   HWcycles : 216
 7:   SWcycles : 11866   HWcycles : 219
 8:   SWcycles : 11866   HWcycles : 219
 9:   SWcycles : 11866   HWcycles : 216
 10:   SWcycles : 11866   HWcycles : 216
 11:   SWcycles : 11866   HWcycles : 216
 12:   SWcycles : 11866   HWcycles : 219
 13:   SWcycles : 11866   HWcycles : 219
 14:   SWcycles : 11866   HWcycles : 216
 15:   SWcycles : 11866   HWcycles : 216
 16:   SWcycles : 11866   HWcycles : 216
 17:   SWcycles : 11866   HWcycles : 219
 18:   SWcycles : 11866   HWcycles : 219
 19:   SWcycles : 11866   HWcycles : 216
 20:   SWcycles : 11866   HWcycles : 216
 21:   SWcycles : 11866   HWcycles : 216
 22:   SWcycles : 11866   HWcycles : 219
 23:   SWcycles : 11866   HWcycles : 219
 24:   SWcycles : 11866   HWcycles : 216
 25:   SWcycles : 11866   HWcycles : 216
 26:   SWcycles : 11866   HWcycles : 216
 27:   SWcycles : 11866   HWcycles : 219
 28:   SWcycles : 11866   HWcycles : 219
 29:   SWcycles : 11866   HWcycles : 216
 DEC bytes 8
 0:   SWcycles : 19435   HWcycles : 234
 1:   SWcycles : 14838   HWcycles : 230
 2:   SWcycles : 14832   HWcycles : 230
 3:   SWcycles : 14832   HWcycles : 230
 4:   SWcycles : 14832   HWcycles : 230
 5:   SWcycles : 14832   HWcycles : 230
 6:   SWcycles : 14832   HWcycles : 230
 7:   SWcycles : 14832   HWcycles : 230
 8:   SWcycles : 14832   HWcycles : 230
 9:   SWcycles : 14832   HWcycles : 230
 10:   SWcycles : 14832   HWcycles : 230
 11:   SWcycles : 14832   HWcycles : 230
 12:   SWcycles : 14832   HWcycles : 230
 13:   SWcycles : 14832   HWcycles : 230
 14:   SWcycles : 14832   HWcycles : 230
 15:   SWcycles : 14832   HWcycles : 230
 16:   SWcycles : 14832   HWcycles : 230
 17:   SWcycles : 14832   HWcycles : 230
 18:   SWcycles : 14832   HWcycles : 230
 19:   SWcycles : 14832   HWcycles : 230
 20:   SWcycles : 14832   HWcycles : 230
 21:   SWcycles : 14832   HWcycles : 230
 22:   SWcycles : 14832   HWcycles : 230
 23:   SWcycles : 14832   HWcycles : 230
 24:   SWcycles : 14832   HWcycles : 230
 25:   SWcycles : 14832   HWcycles : 230
 26:   SWcycles : 14832   HWcycles : 230
 27:   SWcycles : 14832   HWcycles : 230
 28:   SWcycles : 14832   HWcycles : 230
 29:   SWcycles : 14832   HWcycles : 230
 DEC bytes 96
 0:   SWcycles : 47474   HWcycles : 388
 1:   SWcycles : 47468   HWcycles : 384
 2:   SWcycles : 47465   HWcycles : 384
 3:   SWcycles : 47465   HWcycles : 384
 4:   SWcycles : 47465   HWcycles : 387
 5:   SWcycles : 47465   HWcycles : 384
 6:   SWcycles : 47465   HWcycles : 384
 7:   SWcycles : 47465   HWcycles : 384
 8:   SWcycles : 47465   HWcycles : 384
 9:   SWcycles : 47465   HWcycles : 384
 10:   SWcycles : 47465   HWcycles : 384
 11:   SWcycles : 47465   HWcycles : 384
 12:   SWcycles : 47465   HWcycles : 384
 13:   SWcycles : 47465   HWcycles : 384
 14:   SWcycles : 47465   HWcycles : 384
 15:   SWcycles : 47465   HWcycles : 384
 16:   SWcycles : 47465   HWcycles : 384
 17:   SWcycles : 47465   HWcycles : 384
 18:   SWcycles : 47465   HWcycles : 384
 19:   SWcycles : 47465   HWcycles : 384
 20:   SWcycles : 47465   HWcycles : 384
 21:   SWcycles : 47465   HWcycles : 384
 22:   SWcycles : 47465   HWcycles : 384
 23:   SWcycles : 47465   HWcycles : 384
 24:   SWcycles : 47465   HWcycles : 384
 25:   SWcycles : 47465   HWcycles : 384
 26:   SWcycles : 47465   HWcycles : 384
 27:   SWcycles : 47465   HWcycles : 384
 28:   SWcycles : 47465   HWcycles : 384
 29:   SWcycles : 47465   HWcycles : 384
 DEC bytes 496
 0:   SWcycles : 195772   HWcycles : 1088
 1:   SWcycles : 195765   HWcycles : 1084
 2:   SWcycles : 195765   HWcycles : 1084
 3:   SWcycles : 195765   HWcycles : 1084
 4:   SWcycles : 195765   HWcycles : 1087
 5:   SWcycles : 195765   HWcycles : 1084
 6:   SWcycles : 195765   HWcycles : 1084
 7:   SWcycles : 195765   HWcycles : 1084
 8:   SWcycles : 195765   HWcycles : 1084
 9:   SWcycles : 195765   HWcycles : 1084
 10:   SWcycles : 195765   HWcycles : 1084
 11:   SWcycles : 195765   HWcycles : 1084
 12:   SWcycles : 195765   HWcycles : 1084
 13:   SWcycles : 195765   HWcycles : 1084
 14:   SWcycles : 195765   HWcycles : 1084
 15:   SWcycles : 195765   HWcycles : 1084
 16:   SWcycles : 195765   HWcycles : 1084
 17:   SWcycles : 195765   HWcycles : 1084
 18:   SWcycles : 195765   HWcycles : 1084
 19:   SWcycles : 195765   HWcycles : 1084
 20:   SWcycles : 195765   HWcycles : 1084
 21:   SWcycles : 195765   HWcycles : 1084
 22:   SWcycles : 195765   HWcycles : 1084
 23:   SWcycles : 195765   HWcycles : 1084
 24:   SWcycles : 195765   HWcycles : 1084
 25:   SWcycles : 195765   HWcycles : 1084
 26:   SWcycles : 195765   HWcycles : 1084
 27:   SWcycles : 195765   HWcycles : 1084
 28:   SWcycles : 195765   HWcycles : 1084
 29:   SWcycles : 195765   HWcycles : 1084
 DEC bytes 1000
 0:   SWcycles : 382630   HWcycles : 1970
 1:   SWcycles : 382623   HWcycles : 1966
 2:   SWcycles : 382623   HWcycles : 1966
 3:   SWcycles : 382623   HWcycles : 1966
 4:   SWcycles : 382623   HWcycles : 1969
 5:   SWcycles : 382623   HWcycles : 1966
 6:   SWcycles : 382623   HWcycles : 1966
 7:   SWcycles : 382623   HWcycles : 1966
 8:   SWcycles : 382623   HWcycles : 1966
 9:   SWcycles : 382623   HWcycles : 1966
 10:   SWcycles : 382623   HWcycles : 1966
 11:   SWcycles : 382623   HWcycles : 1966
 12:   SWcycles : 382623   HWcycles : 1966
 13:   SWcycles : 382623   HWcycles : 1966
 14:   SWcycles : 382623   HWcycles : 1966
 15:   SWcycles : 382623   HWcycles : 1966
 16:   SWcycles : 382623   HWcycles : 1966
 17:   SWcycles : 382623   HWcycles : 1966
 18:   SWcycles : 382623   HWcycles : 1966
 19:   SWcycles : 382623   HWcycles : 1966
 20:   SWcycles : 382623   HWcycles : 1966
 21:   SWcycles : 382623   HWcycles : 1966
 22:   SWcycles : 382623   HWcycles : 1966
 23:   SWcycles : 382623   HWcycles : 1966
 24:   SWcycles : 382623   HWcycles : 1966
 25:   SWcycles : 382623   HWcycles : 1966
 26:   SWcycles : 382623   HWcycles : 1966
 27:   SWcycles : 382623   HWcycles : 1966
 28:   SWcycles : 382623   HWcycles : 1966
 29:   SWcycles : 382623   HWcycles : 1966
 DEC bytes 5000
 0:   SWcycles : 1865630   HWcycles : 8970
 1:   SWcycles : 1865623   HWcycles : 8966
 2:   SWcycles : 1865623   HWcycles : 8966
 3:   SWcycles : 1865623   HWcycles : 8966
 4:   SWcycles : 1865623   HWcycles : 8966
 5:   SWcycles : 1865623   HWcycles : 8966
 6:   SWcycles : 1865623   HWcycles : 8966
 7:   SWcycles : 1865623   HWcycles : 8966
