ENC 
ENC bytes 0 
5:   SWcycles : 11909   HWcycles : 213
6:   SWcycles : 11909   HWcycles : 213
7:   SWcycles : 11909   HWcycles : 216
8:   SWcycles : 11909   HWcycles : 213
9:   SWcycles : 11909   HWcycles : 213
10:   SWcycles : 11909   HWcycles : 216
11:   SWcycles : 11909   HWcycles : 213
12:   SWcycles : 11909   HWcycles : 213
13:   SWcycles : 11909   HWcycles : 216
14:   SWcycles : 11909   HWcycles : 213
15:   SWcycles : 11909   HWcycles : 213
16:   SWcycles : 11909   HWcycles : 216
17:   SWcycles : 11909   HWcycles : 213
18:   SWcycles : 11909   HWcycles : 213
19:   SWcycles : 11909   HWcycles : 216
20:   SWcycles : 11909   HWcycles : 213
21:   SWcycles : 11909   HWcycles : 213
22:   SWcycles : 11909   HWcycles : 216
23:   SWcycles : 11909   HWcycles : 213
24:   SWcycles : 11909   HWcycles : 213
25:   SWcycles : 11909   HWcycles : 216
26:   SWcycles : 11909   HWcycles : 213
27:   SWcycles : 11909   HWcycles : 213
28:   SWcycles : 11909   HWcycles : 216
29:   SWcycles : 11909   HWcycles : 213
ENC 100 A bytes 8 
0:   SWcycles : 35360   HWcycles : 242
1:   SWcycles : 17827   HWcycles : 239
2:   SWcycles : 17823   HWcycles : 242
3:   SWcycles : 17823   HWcycles : 242
4:   SWcycles : 17823   HWcycles : 239
5:   SWcycles : 17823   HWcycles : 239
6:   SWcycles : 17823   HWcycles : 239
7:   SWcycles : 17823   HWcycles : 242
8:   SWcycles : 17823   HWcycles : 239
9:   SWcycles : 17823   HWcycles : 242
10:   SWcycles : 17823   HWcycles : 239
11:   SWcycles : 17823   HWcycles : 239
12:   SWcycles : 17823   HWcycles : 239
13:   SWcycles : 17823   HWcycles : 242
14:   SWcycles : 17823   HWcycles : 239
15:   SWcycles : 17823   HWcycles : 242
16:   SWcycles : 17823   HWcycles : 239
17:   SWcycles : 17823   HWcycles : 239
18:   SWcycles : 17823   HWcycles : 239
19:   SWcycles : 17823   HWcycles : 242
20:   SWcycles : 17823   HWcycles : 239
21:   SWcycles : 17823   HWcycles : 242
22:   SWcycles : 17823   HWcycles : 239
23:   SWcycles : 17823   HWcycles : 239
24:   SWcycles : 17823   HWcycles : 239
25:   SWcycles : 17823   HWcycles : 242
26:   SWcycles : 17823   HWcycles : 239
27:   SWcycles : 17823   HWcycles : 242
28:   SWcycles : 17823   HWcycles : 239
29:   SWcycles : 17823   HWcycles : 239
ENC 100 A bytes 96 
0:   SWcycles : 50356   HWcycles : 418
1:   SWcycles : 50351   HWcycles : 415
2:   SWcycles : 50337   HWcycles : 415
3:   SWcycles : 50334   HWcycles : 418
4:   SWcycles : 50334   HWcycles : 418
5:   SWcycles : 50334   HWcycles : 415
6:   SWcycles : 50334   HWcycles : 415
7:   SWcycles : 50334   HWcycles : 415
8:   SWcycles : 50334   HWcycles : 418
9:   SWcycles : 50334   HWcycles : 418
10:   SWcycles : 50334   HWcycles : 415
11:   SWcycles : 50334   HWcycles : 415
12:   SWcycles : 50334   HWcycles : 415
13:   SWcycles : 50334   HWcycles : 418
14:   SWcycles : 50334   HWcycles : 418
15:   SWcycles : 50334   HWcycles : 415
16:   SWcycles : 50334   HWcycles : 415
17:   SWcycles : 50334   HWcycles : 415
18:   SWcycles : 50334   HWcycles : 418
19:   SWcycles : 50334   HWcycles : 418
20:   SWcycles : 50334   HWcycles : 415
21:   SWcycles : 50334   HWcycles : 415
22:   SWcycles : 50334   HWcycles : 415
23:   SWcycles : 50334   HWcycles : 418
24:   SWcycles : 50334   HWcycles : 418
25:   SWcycles : 50334   HWcycles : 415
26:   SWcycles : 50334   HWcycles : 415
27:   SWcycles : 50334   HWcycles : 415
28:   SWcycles : 50334   HWcycles : 418
29:   SWcycles : 50334   HWcycles : 418
ENC 100 A bytes 496 
0:   SWcycles : 198094   HWcycles : 1218
1:   SWcycles : 198085   HWcycles : 1215
2:   SWcycles : 198085   HWcycles : 1215
3:   SWcycles : 198085   HWcycles : 1218
4:   SWcycles : 198085   HWcycles : 1218
5:   SWcycles : 198085   HWcycles : 1215
6:   SWcycles : 198085   HWcycles : 1215
7:   SWcycles : 198085   HWcycles : 1215
8:   SWcycles : 198085   HWcycles : 1218
9:   SWcycles : 198085   HWcycles : 1218
10:   SWcycles : 198085   HWcycles : 1215
11:   SWcycles : 198085   HWcycles : 1215
12:   SWcycles : 198085   HWcycles : 1215
13:   SWcycles : 198085   HWcycles : 1218
14:   SWcycles : 198085   HWcycles : 1218
15:   SWcycles : 198085   HWcycles : 1215
16:   SWcycles : 198085   HWcycles : 1215
